sa2_code,sa2_name,earners,median_age,median_income,mean_income
127021518,Horsley Park - Kemps Creek,2685,46,54728,77283
127021519,Smithfield - Wetherill Park,8589,41,47906,54202
127021520,St Johns Park - Wakeley,5445,42,47632,53980
127021521,Wetherill Park Industrial,96,43,68926,85065
127031522,Casula,8377,40,52718,59235
127031523,Chipping Norton - Moorebank,11432,42,56503,65250
127031524,Holsworthy - Wattle Grove,12392,41,63882,71145
127031598,Liverpool,13565,36,47873,52956
127031599,Lurnea - Cartwright,4517,38,45915,49480
127031600,Prestons - Edmondson Park,13867,39,57731,64250
127031601,Warwick Farm,2833,35,48262,52536
128011529,Gymea - Grays Point,11463,45,62373,79971
128011530,Miranda - Yowie Bay,12509,43,56856,72227
128011531,Sylvania - Taren Point,10072,48,53600,79800
128011602,Caringbah,7555,41,62145,72284
128011603,Caringbah South,8347,46,63131,89725
128011604,Cronulla - Kurnell - Bundeena,16235,45,62483,84972
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2216,48,64892,112376
128011606,Woolaware - Burraneer,5842,46,67009,98734
128021533,Heathcote - Waterfall,4025,45,59701,69182
128021534,Illawong - Alfords Point,7024,47,61584,79865
128021535,Menai - Lucas Heights - Woronora,13765,45,62045,76570
128021536,Oyster Bay - Como - Jannali,13480,45,64428,83285
128021537,Royal National Park,13,36,38956,61645
128021538,Sutherland - Kirrawee,13698,41,62453,71105
128021607,Engadine,10335,43,60914,70158
128021608,Loftus - Yarrawarrah,4498,45,60469,73218
128021609,Woronora Heights,2489,47,63811,79203
